sessao_id,data,sessao,autor,comentario,fala,link
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,"– Havendo número regimental, declaro aberta a 31ª Reunião da Comissão Parlamentar Inquérito, criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da Covid, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais, no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,"A presente reunião destina-se ao depoimento da Sra. Regina Célia Silva Oliveira, servidora do Ministério público da Saúde, em atendimento ao requerimento do Senador Humberto Costa.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,Senador Girão.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Eduardo Girão,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Pela ordem.,"– Muito obrigado, Sr. Presidente. Desejo a todos os colegas uma semana de luz, de harmonia.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Eduardo Girão,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Pela ordem.,"Eu queria informar, Sr. Presidente, que, nos documentos enviados para esta CPI, a Controladoria-Geral da União enviou dados analíticos completos das 53 operações especiais integradas pela CGU que envolvem recursos federais destinados à pandemia entre março de 2020 e abril de 2021. Foi investigado nas 53 operações o montante de R$1,6 bilhão – bi, bilhão de reais. O prejuízo efetivo apurado até agora atingiu quase R$39,2 milhões...",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Renan Calheiros,Bloco Parlamentar Unidos pelo Brasil/MDB - AL,"– É 1,6 bilhão. Não é o valor da Covaxin?",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Eduardo Girão,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE,– ... e o prejuízo potencial é de 124...,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Renan Calheiros,Bloco Parlamentar Unidos pelo Brasil/MDB - AL,"– É de 1,614 bilhão.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Eduardo Girão,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE,"– Eu peço, Presidente, que o senhor reitere a palavra, para eu concluir.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Otto Alencar,PSD - BA,– Presidente!,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,– A palavra está garantida para o Senador Eduardo Girão.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Eduardo Girão,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE,– Muito obrigado.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Otto Alencar,PSD - BA. Fora do microfone.,– Queria a palavra pela ordem depois.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,– Pois não.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Eduardo Girão,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE,"– O prejuízo efetivo apurado até agora atingiu quase 39,2 milhões..",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Marcos Do Val,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - ES,"– Também pela ordem, Presidente.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Eduardo Girão,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE,"– ... e o prejuízo potencial é de 124,8 milhões, que decorrem dos desdobramentos que afetem outros contratos e o aprofundamento da investigação. Assim, o prejuízo total pode ultrapassar R$164 milhões.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Eduardo Girão,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE,"Por meio de ações coordenadas em conjunto com a Polícia Federal e o Ministério Público, já foram expedidos, Senadora Simone Tebet, 778 mandados de busca e apreensão e 67 mandados de prisão temporária, sendo 472 pessoas físicas, sendo dessas 129, Senador Marcos Rogério, agentes públicos, e 291 jurídicas estão sob investigação, das quais 51 pessoas de natureza jurídica, 228 de empresas privadas e 12 entidades sem fins lucrativos.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Eduardo Girão,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE,"Ademais, a Nota Técnica nº 9 da CGU da regional da Bahia, de 3 de junho de 2020, que trata da compra dos 300 respiradores junto à empresa Hempcare, a Controladoria-Geral da União, órgão de controle e fiscalização federal, aponta expressamente nas suas conclusões a utilização de verbas federais na citada negociação. O Ministro Wagner Rosário, Senador Alessandro Vieira, em entrevista à CNN no dia 30 de junho de 2021, semana passada, admitiu que está disposto, sim, a vir a esta CPI para depor. Disse ele – abre aspas –: ""Convocado, eu tenho que ir, e estarei lá para apresentar as explicações que forem necessárias"".",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Eduardo Girão,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE,"Então, Sr. Presidente, diante do exposto e da considerável quantidade de procedimentos de investigação que apontou vultoso prejuízo para os cofres públicos, inclusive com o uso comprovado de verbas federais, é que quero recorrer à sua sensibilidade, à sensibilidade de V. Exa. e com o apoio dos nobres pares, para o imediato agendamento da vinda do Ministro Wagner Rosário para esta Comissão, ele que já foi aprovado aqui por todos nós – a convocação dele. Então, este é o pedido: que o senhor possa marcar, se possível, sexta-feira, já que eu soube pela imprensa que não há ou não vai haver a diligência esta semana do Ministro... Do ex-Governador, desculpe, Wilson Witzel. Que a gente possa ouvir o Ministro Wagner Rosário, que já faz três semanas que a gente aprovou.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Eduardo Girão,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE,"Eu soube também que foi adiado o requerimento para amanhã, os requerimentos, as votações, não é? Eu faço aqui um apelo para que o senhor mantenha na pauta a questão tanto do Bruno Dauster, ex-Chefe da Casa Civil da Bahia, exonerado pelo escândalo do Consórcio Nordeste, assim como também da Cristiana Prestes, que é a dona da empresa que comercializa produtos à base da maconha e que recebeu antecipado aí R$48,7 milhões e nunca entregou até hoje os respiradores.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Eduardo Girão,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE,"Muito obrigado, Sr. Presidente.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Marcos Do Val,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - ES,"– Questão de ordem, Sr. Presidente!",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Otto Alencar,PSD - BA,"– Pela ordem, Sr. Presidente!",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,– Sim.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,"Primeiro o Senador Otto, depois o Senador Marcos do Val, e depois o Senador Randolfe.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Otto Alencar,PSD - BA,– Sr. Presidente...,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,"– Eu só vou pedir, por favor... Eu queria que contabilizassem o tempo de três minutos para questão de ordem.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Otto Alencar,PSD - BA,– Claro.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,"– Vamos fazer isso, porque, se não, há uma leitura e a gente perde muito tempo. Então, a questão de ordem... Eu vou estipular três minutos para a questão de ordem e, aí, eu vou encerrar a questão de ordem. Eu peço para as pessoas serem bastante sucintas, porque é a questão de ordem baseada no artigo tal, tal... Em cima disso. Uma exposição de mais de dez minutos para uma questão de ordem é muito tempo.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,Eu peço essa compreensão dos colegas Senadores.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,"Senador Otto, pela ordem.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Otto Alencar,PSD - BA. Pela ordem.,"– Pode ficar tranquilo, Presidente, que a questão de ordem não será um cantochão nem uma ladainha.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Otto Alencar,PSD - BA. Pela ordem.,"É o seguinte, Sr. Presidente: diante da decisão da Ministra Rosa Weber – e ela está obedecendo à lei – não permitindo que o Sr. Maximiano possa vir aqui explicar os fatos nebulosos acontecidos no Ministério da Saúde, na compra e negociação da Covaxin, proporia a V. Exa. que pudesse marcar a oitiva da Diretora Executiva da empresa Precisa, a Sra. Emanuela Medrades, e já tem, inclusive, requerimento aprovado para a sua convocação.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Otto Alencar,PSD - BA. Pela ordem.,"Seria importante a vinda do Maximiano, aqui, à Comissão Parlamentar de Inquérito, até porque, nas informações que nós temos, ele não era uma empresa ou duas, não era só a Precisa e a Global; ele, na verdade, em Brasília, é um shopping de empresas, tem mais de 30 empresas para todo tipo de compra que você desejar. Portanto, é um atrabiliário mesmo...",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Renan Calheiros,Bloco Parlamentar Unidos pelo Brasil/MDB - AL,"– Diretamente, só para ajudar, são 14 empresas ligadas à Precisa e à Global, que se relacionam com mais de 50 empresas.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Otto Alencar,PSD - BA,"– E uma delas, a 6M, me parece que tem relação com o Carlos Wizard, que passou por aqui. Então, fizeram uma armação muito grande dentro da estrutura do Sr. Maximiano, que é um shopping de empresas, para ter aquele tráfico de influência dentro do Ministério da Saúde e negociar a Covaxin.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Otto Alencar,PSD - BA,"Portanto, a proposta que eu faço é que, ao contrário de chamar o Sr. Maximiano, chame-se a sua Diretora Executiva, que negociou com o Ministério da Saúde, que teve relação com o Ministro, com o Secretário-Executivo, com os diretores todos, a Sra. Emanuela Medrades, que, como testemunha, não ficará calada aqui na nossa Comissão Parlamentar de Inquérito.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,– É a famosa empresa que vende de parafuso a foguete para órgãos públicos!,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,Senador Marcos do Val.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Marcos Do Val,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - ES. Pela ordem.,"– Presidente, se for... Eu queria pedir, se houver a possibilidade, para eu estender um pouquinho mais o tempo... É porque é um vídeo – e eu queria apresentar esse vídeo –, é um vídeo que comprova o falso testemunho dos irmãos Miranda, que passou por uma perícia, com os dados técnicos da perícia. Esse vídeo é bem explicativo, e eu queria mostrar para os meus pares. Se o senhor permitir...",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,"– Esse vídeo é do Sr. Maximiano. Ele teria oportunidade, Senador Marcos do Val, de vir aqui, mas ele foi à Justiça para não falar. E ele solta um vídeo... Esse vídeo que o Senador Renan Calheiros quis colocar aqui da Dra. Ludhmila eu não permiti, e não farei a mesma coisa... Você me desculpe, mas não tem absolutamente nada a ver. Quem tem que fazer a defesa do Sr. Maximiano não é V. Exa.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Marcos Do Val,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - ES,– Mas não seria a defesa dele.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,– Não é V. Exa.! Quem tem que fazer a defesa do Sr. Maximiano é ele mesmo aqui...,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Marcos Do Val,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - ES,"– Presidente, é porque eu estou tendo...",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,– ... sentado à minha direita aqui.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Marcos Do Val,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - ES,– É porque todos os vídeos que eu tento apresentar eu não consigo apresentar na CPI.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,"– Não! V. Exa. tem... Se for pertinente ao assunto, sem problema.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Marcos Do Val,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - ES,"– Sim, sim, sim, é um falso testemunho.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,"– Nós vamos tratar aqui hoje de ouvir uma servidora pública, e não tem nada a ver...",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Marcos Do Val,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - ES,"– Tem a ver, tem a ver com o setor dela. Exatamente com invoice, com o setor...",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,"– Senador Marcos do Val, eu não permiti, a pedido dos Senadores...",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Marcos Rogério,Bloco Parlamentar Vanguarda/DEM - RO,– Sr. Presidente...,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,"– Eu não sei se V. Exa. estava presencial ou estava remotamente, mas vocês se recordam... O Senador Marcos Rogério estava, o Senador Eduardo Girão estava, o Senador Luis Carlos Heinze estava, estava o Senador Fernando Bezerra quando o Senador Relator tentou aqui colocar aqui um vídeo da Dra. Ludhmila, e eu não permiti, entendendo que, se a pessoa quiser falar, tem que vir aqui para se defender e não outra pessoa mostrar o vídeo dela.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,"Vem aqui, senta aqui. Não vá para a Justiça. Sente aqui, Maximiano, sente aqui ao meu lado direito!",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,"E ele pode explicar tudo isso que está no vídeo, porque o vídeo é dele. Ele mandou para a CPI, e eu não tomei conhecimento porque isso não serve como prova nem como defesa.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Marcos Do Val,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - ES,"– Ele mandou os documentos, Presidente.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,– Pois é.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Marcos Do Val,Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - ES,– E o vídeo é um explicativo.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Presidente,Omar Aziz. PSD - AM,– Senador Randolfe.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Marcos Rogério,Bloco Parlamentar Vanguarda/DEM - RO,"– Na sequência, Sr. Presidente.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
10078,2021-07-06,31, Randolfe Rodrigues,Bloco Parlamentar Senado Independente/REDE - AP. Pela ordem.,"– Sr. Presidente, esta Comissão Parlamentar de Inquérito aprovou um requerimento de minha autoria, o Requerimento nº 749, solicitando da Agência Brasileira de Inteligência as informações sobre o enfrentamento da pandemia da Covid-19.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
