sessao_id,data,sessao,autor,comentario,fala,link
10259,2021-09-28,59, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,"– Havendo número regimental, declaro aberta a 59ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos n°s 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais no trato da coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10259
10259,2021-09-28,59, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,"A presente reunião destina-se ao depoimento da Sra. Bruna Morato, em atendimento ao Requerimento n° 1.540, de 2021, de autoria do Senador Humberto Costa.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10259
10259,2021-09-28,59, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,"Concedo a palavra, pela ordem, ao Senador Fernando Bezerra.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10259
10259,2021-09-28,59, Fernando Bezerra Coelho,Bloco Parlamentar Unidos pelo Brasil/MDB - PE. Pela ordem.,"– Sr. Presidente, Sras. e Srs. Senadores, prezado Relator Senador Renan Calheiros, aproximamo-nos da fase final desta Comissão Parlamentar de Inquérito. Defendemos, desde o início dos trabalhos, que a investigação imporia foco técnico, ausência de viés político e atuação dentro dos limites constitucionais. Não raras vezes, apelamos para que os excessos fossem evitados, para que o equilíbrio e o exercício do consenso, sempre que possível, afastassem posições de beligerância e confrontação, que desandam para radicalizações ideológicas. Rechaçamos a ideia de que esta Comissão tomasse unicamente o caminho da criminalização, mas que pudesse também apontar os aperfeiçoamentos necessários para qualificar o enfrentamento de futuras emergências de saúde.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10259
10259,2021-09-28,59, Fernando Bezerra Coelho,Bloco Parlamentar Unidos pelo Brasil/MDB - PE. Pela ordem.,"Embora tenha amplos poderes de investigação, a CPI não pode se distanciar de seus preceitos constitucionais, fundamentação, vinculação a fato concreto e temporariedade da motivação, de tal modo que todos os seus atos sejam norteados por essas premissas, evitando, assim, o acobertamento de abusividades e ilegalidades sob o manto do ato político. A investigação existe para apuração e esclarecimento de fatos, o que poderá determinar juridicamente a instauração ou não de um processo. O relatório final não pode ter natureza de verdadeira sentença. Isenção e imparcialidade não podem ser meras figuras retóricas, a subordinação aos fatos se impõe por dever.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10259
10259,2021-09-28,59, Fernando Bezerra Coelho,Bloco Parlamentar Unidos pelo Brasil/MDB - PE. Pela ordem.,"Nesse sentido, Sr. Presidente, considerando que alguns quesitos levantados no curso do processo investigativo devam ser devidamente enfrentados na elaboração do relatório final, em particular as imputações penais, julguei oportuno consultar a opinião jurídica do notável Professor Ives Gandra Martins, pluralizando o debate e trazendo novos pontos de vista para a necessária elucidação dos fatos e instrução dos atos por ocasião do relatório final.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10259
10259,2021-09-28,59, Fernando Bezerra Coelho,Bloco Parlamentar Unidos pelo Brasil/MDB - PE. Pela ordem.,"Dentre esses quesitos, um primeiro diz respeito ao papel da União na adoção de medidas de enfrentamento à pandemia do covid-19 frente à decisão do Supremo Tribunal Federal em face do julgamento da Ação Direta de Inconstitucionalidade n° 6.341, que reconheceu a competência própria de Estados e Municípios na realização de serviços de saúde.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10259
10259,2021-09-28,59, Fernando Bezerra Coelho,Bloco Parlamentar Unidos pelo Brasil/MDB - PE. Pela ordem.,Outro ponto relevante é sobre a legitimidade da Comissão Parlamentar de Inquérito para promover a acusação do Presidente da República em face de supostos indícios de cometimento de crime comum.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10259
10259,2021-09-28,59, Presidente,Omar Aziz. PSD - AM,"– Esse relatório é de quem, Senador Fernando Bezerra?",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10259
10259,2021-09-28,59, Fernando Bezerra Coelho,Bloco Parlamentar Unidos pelo Brasil/MDB - PE,"– Não, essa é uma consulta, Sr. Presidente...",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10259
10259,2021-09-28,59, Presidente,Omar Aziz. PSD - AM,– Quem pagou essa consulta?,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10259
10259,2021-09-28,59, Fernando Bezerra Coelho,Bloco Parlamentar Unidos pelo Brasil/MDB - PE,"– É pro bono, Sr. Presidente.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10259
